name,brand,url,mainImageurl,SKU,Reviews,Rating,Model,retailer,storesku,omsid
10-ft x 20-ft Gray Water resistant Standard Polyethylene 14-mil Tarp,Grip-on Tools,https://www.lowes.com/pd/Grip-on-Tools-10-FT-X-20-FT-EXTRA-HD-GREY-TARP/5014121555,https://mobileimages.lowes.com/productimages/e669f225-1dd6-4891-bea7-6ba74572042f/61347978.jpg,4827541,2,4,78770,Lowes,4827541,5014121555
10-ft x 25-ft Clear 3-mil Medium-duty Plastic sheeting,Project Source,https://www.lowes.com/pd/BARRICADE-10-ft-x-25-ft-Clear-3-mil-Plastic-Sheeting/1000158123,https://mobileimages.lowes.com/productimages/45d8598c-9d49-4692-8d55-171ef0757171/67611047.jpeg,810476,855,4.6,110CT6025LOWES3C,Lowes,810476,1000158123
1-1/2-HP 115 and 230 -Volt 70-Gallon Cast iron Lawn pump,Zoeller,https://www.lowes.com/pd/Zoeller-1-1-2-HP-115-and-230-Volt-70-GPM-Cast-Iron-Lawn-Pump/5015828523,https://mobileimages.lowes.com/productimages/1e3e534e-a8f0-4bb6-ac11-068c4afc916d/69082910.jpeg,955588,NULL,NULL,1332-0006,Lowes,955588,5015828523
1-1/2-HP 115 and 230 -Volt 70-Gallon Cast iron Lawn pump,Zoeller,https://www.lowes.com/pd/Zoeller-1-5-HP-Cast-iron-Lawn-pump/1000678119,https://mobileimages.lowes.com/productimages/c2aef197-42c1-4003-a97f-0945538e1b72/10067769.jpg,955588,50,3.7,1332-0006,Lowes,955588,1000678119
1-1/4-ft 3 -Outlet 6 -USB Ports Indoor White Power Strip,Utilitech,https://www.lowes.com/pd/Utilitech-3-outlet-tap-with-3-USB-A-3-USB-C/5014628115,https://mobileimages.lowes.com/productimages/ec68cdbb-b346-45ca-ab91-186f212f060a/66641840.jpeg,5474535,11,4.3,UTPBUC103,Lowes,5474535,5014628115
1-1/4-ft 5 -Outlet 2 -USB Ports Indoor White Power Strip,Utilitech,https://www.lowes.com/pd/Utilitech-Utilitech-Desktop-Charging-Station-2-USB-A-1-USB-C-2-Outlet-5ft-Cord-White/5014519321,https://mobileimages.lowes.com/productimages/333591b8-f745-4ce6-b913-924d9b64cf6b/67130285.jpeg,5474538,56,4.8,79226,Lowes,5474538,5014519321
120 -Volt Thermoplastic Condensate pump,DiversiTech,https://www.lowes.com/pd/DiversiTech-0-114-HP-Thermoplastic-Condensate-Pump/1000614463,https://mobileimages.lowes.com/productimages/a63df5f5-c800-4b74-904a-5857a0c38ba3/09578077.jpg,955644,107,4.2,LCV-120,Lowes,955644,1000614463
125-Volt 1 -Outlet Indoor Smart Plug,Enbrighten,https://www.lowes.com/pd/Enbrighten-125-Volt-1-Outlet-Indoor-Smart-Plug/1003202046,https://mobileimages.lowes.com/productimages/c06e9648-e843-4dc0-acec-d35d84ff6a96/70203298.jpeg,795664,503,4.3,51511-T1,Lowes,795664,1003202046
125-Volt 2 -Outlet Indoor Smart Plug,Enbrighten,https://www.lowes.com/pd/Enbrighten-Enbrighten-Wi-Fi-Indoor-Plug-in-2-Outlet-Switch/1003202042,https://mobileimages.lowes.com/productimages/ab5e6f53-bea9-4d17-9114-6bbd15a08e92/66951772.jpeg,2516036,57,4.3,51253-T1,Lowes,2516036,1003202042
128 Fluid ounce(s) Home perimeter Indoor/Outdoor Bug spray,Harris,https://www.lowes.com/pd/Harris-1-Gallon-Bed-Bug-Killer-Trigger-Spray/5013046045,https://mobileimages.lowes.com/productimages/c8405a80-1873-4a37-a464-8fcab8fa165a/61744352.jpg,4145565,70,3.8,HBB-128,Lowes,4145565,5013046045
12-ft Surge Protection 8 -Outlet 3600 Joules 1875 -Watts 1100VA White Indoor USB AC Surge Protector,Utilitech,https://www.lowes.com/pd/Utilitech-8-outlet-SURGE-strip-with-2-USB-A-1-USB-C-12ft-cord-flat-plug-18W-USB-C-3-0A-shared-3600J-WHITE/5014628111,https://mobileimages.lowes.com/productimages/81933dbb-060b-4067-b51b-c54587e90539/66641946.jpeg,5474533,24,4.8,UTPBSUC031,Lowes,5474533,5014628111
12-ft x 16-ft Blue Waterproof Standard Polyethylene 5-mil Tarp,Project Source,https://www.lowes.com/pd/Blue-Hawk-16-ft-x-12-ft-Polyethylene-Tarp/50377230,https://mobileimages.lowes.com/productimages/6ad3c626-1feb-45cf-85c7-134a3d43f0fe/69264000.jpeg,186791,212,4.6,CH12X16-L,Lowes,186791,50377230
